id,srno,application_name,customer_initiated_transactions_volume_mn,customer_initiated_transactions_value_cr,b_2_c_transactions_volume_mn,b_2_c_transactions_value_cr,b_2_b_transactions_volume_mn,b_2_b_transactions_value_cr,onus_transactions_volume_mn,onus_transactions_value_cr,total_volume_mn,total_value_cr,created_at,updated_at,published_at,created_by_id,updated_by_id,product_name,tab_name,year,month,upi_application_name,upi_volume_mn,upi_value_cr,locale
3942,62,Equitas Small Finance Bank Apps,0.03,19.39,-,-,-,-,-,-,0.03,19.39,2025-01-09T15:18:19.847Z,2025-04-29T11:01:41.210Z,,,,UPI,upi-apps,2023,Sep,,,,en
3943,63,DIGIKHATA,0.03,10.80,-,-,-,-,-,-,0.03,10.80,2025-01-09T15:18:19.847Z,2025-04-29T11:01:41.290Z,,,,UPI,upi-apps,2023,Sep,,,,en
3944,64,SLICE,0.03,3.80,-,-,-,-,-,-,0.03,3.80,2025-01-09T15:18:19.847Z,2025-04-29T11:01:41.369Z,,,,UPI,upi-apps,2023,Sep,,,,en
3945,65,Allahabad Bank Apps,0.03,7.15,-,-,-,-,-,-,0.03,7.15,2025-01-09T15:18:19.847Z,2025-04-29T11:01:41.448Z,,,,UPI,upi-apps,2023,Sep,,,,en
3946,66,Punjab Sind Bank Apps,0.03,12.32,-,-,-,-,-,-,0.03,12.32,2025-01-09T15:18:19.847Z,2025-04-29T11:01:41.528Z,,,,UPI,upi-apps,2023,Sep,,,,en
3947,67,DHANI,0.02,2.58,-,-,-,-,-,-,0.02,2.58,2025-01-09T15:18:19.847Z,2025-04-29T11:01:41.613Z,,,,UPI,upi-apps,2023,Sep,,,,en
3948,68,Utkarsh Small Finance Bank Apps,0.02,6.63,-,-,-,-,-,-,0.02,6.63,2025-01-09T15:18:19.847Z,2025-04-29T11:01:41.693Z,,,,UPI,upi-apps,2023,Sep,,,,en
3949,69,Jammu and Kashmir Bank Apps,0.01,2.56,-,-,-,-,-,-,0.01,2.56,2025-01-09T15:18:19.847Z,2025-04-29T11:01:41.771Z,,,,UPI,upi-apps,2023,Sep,,,,en
3950,70,Dhanlaxmi Bank Apps,0.01,3.46,-,-,-,-,-,-,0.01,3.46,2025-01-09T15:18:19.847Z,2025-04-29T11:01:41.851Z,,,,UPI,upi-apps,2023,Sep,,,,en
3951,71,GoIbibo,0.01,2.34,-,-,-,-,-,-,0.01,2.34,2025-01-09T15:18:19.847Z,2025-04-29T11:01:41.930Z,,,,UPI,upi-apps,2023,Sep,,,,en
3952,72,Others,0.06,10.18,-,-,-,0.06,-,-,0.06,10.25,2025-01-09T15:18:19.847Z,2025-04-29T11:01:42.009Z,,,,UPI,upi-apps,2023,Sep,,,,en
2814,1,Airtel Payments Bank Apps,11.32,778.26,-,-,-,-,0.31,32.39,11.62,810.65,2025-01-07T04:48:50.657Z,2025-04-29T11:00:31.472Z,,,,UPI,upi-apps,2023,Oct,,,,en
2815,2,Allahabad Bank Apps,0.03,7.30,-,-,-,-,NaN,NaN,0.03,7.30,2025-01-07T04:48:50.657Z,2025-04-29T11:00:31.550Z,,,,UPI,upi-apps,2023,Oct,,,,en
2816,3,Amazon Pay,54.39,6297.17,-,-,-,-,NaN,NaN,54.39,6297.17,2025-01-07T04:48:50.657Z,2025-04-29T11:00:31.628Z,,,,UPI,upi-apps,2023,Oct,,,,en
2817,4,AU Small Finance Bank Apps,0.71,235.99,-,-,-,-,NaN,NaN,0.71,235.99,2025-01-07T04:48:50.657Z,2025-04-29T11:00:31.706Z,,,,UPI,upi-apps,2023,Oct,,,,en
2818,5,Axis Bank Apps,12.10,2202.41,62.24,2721.47,0.08,7.63,NaN,NaN,74.42,4931.50,2025-01-07T04:48:50.657Z,2025-04-29T11:00:31.786Z,,,,UPI,upi-apps,2023,Oct,,,,en
2819,6,Bajaj Finserv,14.19,2373.17,-,-,-,-,NaN,NaN,14.19,2373.17,2025-01-07T04:48:50.657Z,2025-04-29T11:00:31.866Z,,,,UPI,upi-apps,2023,Oct,,,,en
2820,7,Bajaj Finserv PPI,0.23,48.79,-,-,-,-,NaN,NaN,0.23,48.79,2025-01-07T04:48:50.657Z,2025-04-29T11:00:31.945Z,,,,UPI,upi-apps,2023,Oct,,,,en
2821,8,Bank of Baroda Apps,0.93,393.21,-,-,-,4.28,NaN,NaN,0.93,397.49,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.028Z,,,,UPI,upi-apps,2023,Oct,,,,en
2822,9,Bank of India Apps,0.27,93.46,-,-,-,-,NaN,NaN,0.27,93.46,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.109Z,,,,UPI,upi-apps,2023,Oct,,,,en
2823,10,Bank of Maharashtra Apps,0.06,10.85,-,-,-,-,NaN,NaN,0.06,10.85,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.189Z,,,,UPI,upi-apps,2023,Oct,,,,en
2824,11,BHIM,25.74,8174.71,-,-,-,-,NaN,NaN,25.74,8174.71,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.267Z,,,,UPI,upi-apps,2023,Oct,,,,en
2825,12,Canara Bank Apps,2.21,665.24,-,-,0.01,0.19,NaN,NaN,2.22,665.43,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.347Z,,,,UPI,upi-apps,2023,Oct,,,,en
2826,13,Central Bank of India Apps,0.52,114.69,-,-,-,0.24,NaN,NaN,0.52,114.94,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.427Z,,,,UPI,upi-apps,2023,Oct,,,,en
2827,14,Citi Bank Apps,0.08,66.07,-,-,-,-,NaN,NaN,0.08,66.07,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.506Z,,,,UPI,upi-apps,2023,Oct,,,,en
2828,15,City Union Bank Apps,0.07,21.55,-,-,-,-,NaN,NaN,0.07,21.55,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.585Z,,,,UPI,upi-apps,2023,Oct,,,,en
2829,16,Cred,94.52,34691.49,-,-,-,-,NaN,NaN,94.52,34691.49,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.663Z,,,,UPI,upi-apps,2023,Oct,,,,en
2830,17,DBS Digibank Apps,0.50,197.14,-,-,-,0.56,NaN,NaN,0.51,197.70,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.745Z,,,,UPI,upi-apps,2023,Oct,,,,en
2831,18,Deutsche Bank Apps,2.37,350.45,-,-,-,0.02,NaN,NaN,2.37,350.47,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.824Z,,,,UPI,upi-apps,2023,Oct,,,,en
2832,19,Dhani PPI,0.02,1.49,-,-,-,-,NaN,NaN,0.02,1.49,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.903Z,,,,UPI,upi-apps,2023,Oct,,,,en
2833,20,Digikhata PPI,0.04,15.33,-,-,-,-,NaN,NaN,0.04,15.33,2025-01-07T04:48:50.657Z,2025-04-29T11:00:32.984Z,,,,UPI,upi-apps,2023,Oct,,,,en
2834,21,Equitas Small Finance Bank Apps,0.03,21.65,-,-,-,-,NaN,NaN,0.03,21.65,2025-01-07T04:48:50.657Z,2025-04-29T11:00:33.064Z,,,,UPI,upi-apps,2023,Oct,,,,en
2835,22,Fampay PPI,27.54,314.13,-,-,-,-,NaN,NaN,27.54,314.13,2025-01-07T04:48:50.657Z,2025-04-29T11:00:33.145Z,,,,UPI,upi-apps,2023,Oct,,,,en
2836,23,Fave,0.11,10.38,-,-,-,-,NaN,NaN,0.11,10.38,2025-01-07T04:48:50.657Z,2025-04-29T11:00:33.223Z,,,,UPI,upi-apps,2023,Oct,,,,en
2837,24,Federal Bank Apps,5.89,720.68,-,-,-,-,NaN,NaN,5.89,720.68,2025-01-07T04:48:50.657Z,2025-04-29T11:00:33.303Z,,,,UPI,upi-apps,2023,Oct,,,,en
2838,25,Fino Payments bank Apps,0.27,20.01,-,-,-,-,NaN,NaN,0.27,20.01,2025-01-07T04:48:50.657Z,2025-04-29T11:00:33.381Z,,,,UPI,upi-apps,2023,Oct,,,,en
2839,26,GoKiwi,0.76,79.21,-,-,-,-,NaN,NaN,0.76,79.21,2025-01-07T04:48:50.657Z,2025-04-29T11:00:33.464Z,,,,UPI,upi-apps,2023,Oct,,,,en
2840,27,Google Pay,4139.92,589299.18,-,-,-,-,NaN,NaN,4139.92,589299.18,2025-01-07T04:48:50.657Z,2025-04-29T11:00:33.541Z,,,,UPI,upi-apps,2023,Oct,,,,en
2841,28,Groww,5.89,3354.83,-,-,-,-,NaN,NaN,5.89,3354.83,2025-01-07T04:48:50.657Z,2025-04-29T11:00:33.618Z,,,,UPI,upi-apps,2023,Oct,,,,en
2842,29,HDFC Bank Apps,21.35,5453.76,-,-,-,-,NaN,NaN,21.35,5453.76,2025-01-07T04:48:50.657Z,2025-04-29T11:00:33.696Z,,,,UPI,upi-apps,2023,Oct,,,,en
2843,30,HSBC Bank Apps,0.18,105.98,-,0.08,-,-,NaN,NaN,0.18,106.07,2025-01-07T04:48:50.657Z,2025-04-29T11:00:33.777Z,,,,UPI,upi-apps,2023,Oct,,,,en
2844,31,ICICI Bank Apps,27.54,11273.30,4.82,437.19,6.52,9607.29,NaN,NaN,38.88,21317.78,2025-01-07T04:48:50.657Z,2025-04-29T11:00:33.858Z,,,,UPI,upi-apps,2023,Oct,,,,en
2845,32,IDBI Bank Apps,0.07,36.89,-,-,-,-,NaN,NaN,0.07,36.89,2025-01-07T04:48:50.657Z,2025-04-29T11:00:33.939Z,,,,UPI,upi-apps,2023,Oct,,,,en
2846,33,IDFC Bank Apps,5.26,1312.45,-,-,-,0.01,NaN,NaN,5.26,1312.46,2025-01-07T04:48:50.657Z,2025-04-29T11:00:34.022Z,,,,UPI,upi-apps,2023,Oct,,,,en
2847,34,India Post Payments Bank Apps,5.54,464.95,-,-,-,-,NaN,NaN,5.54,464.95,2025-01-07T04:48:50.657Z,2025-04-29T11:00:34.101Z,,,,UPI,upi-apps,2023,Oct,,,,en
2848,35,Indian Bank Apps,0.36,90.37,-,-,-,20.56,NaN,NaN,0.36,110.93,2025-01-07T04:48:50.657Z,2025-04-29T11:00:34.180Z,,,,UPI,upi-apps,2023,Oct,,,,en
2849,36,Indian Overseas Bank Apps,0.09,23.85,-,-,-,-,NaN,NaN,0.09,23.85,2025-01-07T04:48:50.657Z,2025-04-29T11:00:34.263Z,,,,UPI,upi-apps,2023,Oct,,,,en
2850,37,IndusInd Bank Apps,1.07,217.98,-,-,-,-,NaN,NaN,1.07,217.98,2025-01-07T04:48:50.657Z,2025-04-29T11:00:34.342Z,,,,UPI,upi-apps,2023,Oct,,,,en
2851,38,Jammu and Kashmir Bank Apps,0.01,3.39,-,-,-,-,NaN,NaN,0.01,3.39,2025-01-07T04:48:50.657Z,2025-04-29T11:00:34.422Z,,,,UPI,upi-apps,2023,Oct,,,,en
2852,39,Jio Payments Bank Apps,1.35,112.84,-,-,-,-,NaN,NaN,1.35,112.84,2025-01-07T04:48:50.657Z,2025-04-29T11:00:34.501Z,,,,UPI,upi-apps,2023,Oct,,,,en
2853,40,Jupiter,4.45,571.06,-,-,-,-,NaN,NaN,4.45,571.06,2025-01-07T04:48:50.658Z,2025-04-29T11:00:34.580Z,,,,UPI,upi-apps,2023,Oct,,,,en
2854,41,Karnataka Bank Apps,0.69,138.58,-,-,-,-,NaN,NaN,0.69,138.58,2025-01-07T04:48:50.658Z,2025-04-29T11:00:34.663Z,,,,UPI,upi-apps,2023,Oct,,,,en
2855,42,Karur Vysya Bank Apps,0.04,16.95,-,-,-,-,NaN,NaN,0.04,16.95,2025-01-07T04:48:50.658Z,2025-04-29T11:00:34.742Z,,,,UPI,upi-apps,2023,Oct,,,,en
2856,43,Kotak Mahindra Bank Apps,23.83,4205.76,-,-,-,-,NaN,NaN,23.83,4205.77,2025-01-07T04:48:50.658Z,2025-04-29T11:00:34.821Z,,,,UPI,upi-apps,2023,Oct,,,,en
2857,44,MakeMyTrip,0.04,21.47,-,-,-,-,NaN,NaN,0.04,21.47,2025-01-07T04:48:50.658Z,2025-04-29T11:00:34.901Z,,,,UPI,upi-apps,2023,Oct,,,,en
2858,45,Mobikwik,4.43,1378.88,-,-,-,-,NaN,NaN,4.43,1378.88,2025-01-07T04:48:50.658Z,2025-04-29T11:00:34.980Z,,,,UPI,upi-apps,2023,Oct,,,,en
2859,46,Mobikwik PPI,0.02,2.15,-,-,-,-,NaN,NaN,0.02,2.15,2025-01-07T04:48:50.658Z,2025-04-29T11:00:35.060Z,,,,UPI,upi-apps,2023,Oct,,,,en
2860,47,Navi,0.53,33.92,-,-,-,-,NaN,NaN,0.53,33.92,2025-01-07T04:48:50.658Z,2025-04-29T11:00:35.138Z,,,,UPI,upi-apps,2023,Oct,,,,en
2861,48,NSDL Payments Bank Apps,0.04,5.79,-,-,-,-,NaN,NaN,0.04,5.79,2025-01-07T04:48:50.658Z,2025-04-29T11:00:35.218Z,,,,UPI,upi-apps,2023,Oct,,,,en
2862,49,Omnicard PPI,1.20,45.90,-,-,-,-,NaN,NaN,1.20,45.90,2025-01-07T04:48:50.658Z,2025-04-29T11:00:35.294Z,,,,UPI,upi-apps,2023,Oct,,,,en
2863,50,Paytm,1417.81,167819.30,3.36,6.88,0.74,1244.89,122.51,23903.73,1544.41,192974.80,2025-01-07T04:48:50.658Z,2025-04-29T11:00:35.373Z,,,,UPI,upi-apps,2023,Oct,,,,en
2864,51,PhonePe,5337.96,838371.70,-,-,-,-,NaN,NaN,5337.96,838371.70,2025-01-07T04:48:50.658Z,2025-04-29T11:00:35.450Z,,,,UPI,upi-apps,2023,Oct,,,,en
2865,52,Punjab National Bank Apps,0.99,211.45,-,-,-,-,NaN,NaN,0.99,211.45,2025-01-07T04:48:50.658Z,2025-04-29T11:00:35.530Z,,,,UPI,upi-apps,2023,Oct,,,,en
2866,53,Punjab Sind Bank Apps,0.03,12.94,-,-,-,-,NaN,NaN,0.03,12.94,2025-01-07T04:48:50.658Z,2025-04-29T11:00:35.614Z,,,,UPI,upi-apps,2023,Oct,,,,en
2867,54,RBL Bank Apps,1.87,642.63,-,0.02,0.27,16.09,NaN,NaN,2.14,658.74,2025-01-07T04:48:50.658Z,2025-04-29T11:00:35.695Z,,,,UPI,upi-apps,2023,Oct,,,,en
2868,55,Samsung Pay,6.17,562.28,-,-,-,-,NaN,NaN,6.17,562.28,2025-01-07T04:48:50.658Z,2025-04-29T11:00:35.774Z,,,,UPI,upi-apps,2023,Oct,,,,en
2869,56,Shriram One,0.15,9.43,-,-,-,-,NaN,NaN,0.15,9.43,2025-01-07T04:48:50.658Z,2025-04-29T11:00:35.857Z,,,,UPI,upi-apps,2023,Oct,,,,en
2870,57,slice,1.33,340.40,-,-,-,-,NaN,NaN,1.33,340.40,2025-01-07T04:48:50.658Z,2025-04-29T11:00:35.938Z,,,,UPI,upi-apps,2023,Oct,,,,en
2871,58,slice PPI,0.33,18.41,-,-,-,-,NaN,NaN,0.33,18.41,2025-01-07T04:48:50.658Z,2025-04-29T11:00:36.020Z,,,,UPI,upi-apps,2023,Oct,,,,en
2872,59,South Indian Bank Apps,0.22,69.36,-,-,-,-,NaN,NaN,0.22,69.36,2025-01-07T04:48:50.658Z,2025-04-29T11:00:36.101Z,,,,UPI,upi-apps,2023,Oct,,,,en
2873,60,Standard Chartered Bank Apps,4.41,240.59,-,-,2.61,1462.00,NaN,NaN,7.02,1702.59,2025-01-07T04:48:50.658Z,2025-04-29T11:00:36.183Z,,,,UPI,upi-apps,2023,Oct,,,,en
2874,61,State Bank of India Apps,5.51,2185.45,-,-,0.02,0.60,NaN,NaN,5.53,2186.05,2025-01-07T04:48:50.658Z,2025-04-29T11:00:36.264Z,,,,UPI,upi-apps,2023,Oct,,,,en
2875,62,Tamilnad Mercantile Bank Apps,0.10,29.14,-,-,-,-,NaN,NaN,0.10,29.14,2025-01-07T04:48:50.658Z,2025-04-29T11:00:36.346Z,,,,UPI,upi-apps,2023,Oct,,,,en
2876,63,TataNeu,0.09,14.51,-,-,-,-,NaN,NaN,0.09,14.51,2025-01-07T04:48:50.658Z,2025-04-29T11:00:36.429Z,,,,UPI,upi-apps,2023,Oct,,,,en
2877,64,UCO Bank Apps,0.28,85.33,-,-,-,-,NaN,NaN,0.28,85.33,2025-01-07T04:48:50.658Z,2025-04-29T11:00:36.511Z,,,,UPI,upi-apps,2023,Oct,,,,en
2878,65,Ultracash,0.09,5.60,-,-,-,-,NaN,NaN,0.09,5.60,2025-01-07T04:48:50.658Z,2025-04-29T11:00:36.593Z,,,,UPI,upi-apps,2023,Oct,,,,en
2879,66,Union Bank Apps,0.89,360.41,-,-,-,-,NaN,NaN,0.89,360.42,2025-01-07T04:48:50.658Z,2025-04-29T11:00:36.674Z,,,,UPI,upi-apps,2023,Oct,,,,en
2880,67,Utkarsh Small Finance Bank Apps,0.02,7.44,-,-,-,-,NaN,NaN,0.02,7.44,2025-01-07T04:48:50.658Z,2025-04-29T11:00:36.754Z,,,,UPI,upi-apps,2023,Oct,,,,en
2881,68,WhatsApp,22.72,1903.10,-,-,-,-,NaN,NaN,22.72,1903.10,2025-01-07T04:48:50.658Z,2025-04-29T11:00:36.834Z,,,,UPI,upi-apps,2023,Oct,,,,en
2882,69,Yes Bank Apps,27.97,11183.85,-,-,0.30,75.25,NaN,NaN,28.27,11259.10,2025-01-07T04:48:50.658Z,2025-04-29T11:00:36.919Z,,,,UPI,upi-apps,2023,Oct,,,,en
2883,70,Others,0.06,14.29,-,-,-,-,-,-,0.06,14.29,2025-01-07T04:48:50.658Z,2025-04-29T11:00:37.000Z,,,,UPI,upi-apps,2023,Oct,,,,en
2884,1,PhonePe,5281.68,854939.06,-,-,-,-,NaN,NaN,5281.68,854939.06,2025-01-07T04:50:12.380Z,2025-04-29T11:00:37.079Z,,,,UPI,upi-apps,2023,Nov,,,,en
2885,2,Google Pay,4099.08,599748.64,-,-,-,-,NaN,NaN,4099.08,599748.64,2025-01-07T04:50:12.380Z,2025-04-29T11:00:37.159Z,,,,UPI,upi-apps,2023,Nov,,,,en
2886,3,Paytm,1360.45,166257.62,4.68,8.00,0.73,1314.75,113.61,23569.92,1479.47,191150.29,2025-01-07T04:50:12.380Z,2025-04-29T11:00:37.241Z,,,,UPI,upi-apps,2023,Nov,,,,en
2887,4,Cred,93.31,34541.32,-,-,-,-,NaN,NaN,93.31,34541.32,2025-01-07T04:50:12.380Z,2025-04-29T11:00:37.322Z,,,,UPI,upi-apps,2023,Nov,,,,en
2888,5,Axis Bank Apps,11.52,2305.08,54.43,1453.30,0.07,7.27,NaN,NaN,66.02,3765.68,2025-01-07T04:50:12.380Z,2025-04-29T11:00:37.404Z,,,,UPI,upi-apps,2023,Nov,,,,en
2889,6,Amazon Pay,48.62,5737.75,-,-,-,-,NaN,NaN,48.62,5737.75,2025-01-07T04:50:12.380Z,2025-04-29T11:00:37.485Z,,,,UPI,upi-apps,2023,Nov,,,,en
2890,7,ICICI Bank Apps,27.41,11134.92,4.79,456.40,8.55,12088.53,NaN,NaN,40.75,23679.82,2025-01-07T04:50:12.380Z,2025-04-29T11:00:37.565Z,,,,UPI,upi-apps,2023,Nov,,,,en
2891,8,Fampay,28.43,336.92,-,-,-,-,NaN,NaN,28.43,336.92,2025-01-07T04:50:12.380Z,2025-04-29T11:00:37.647Z,,,,UPI,upi-apps,2023,Nov,,,,en
2892,9,Yes Bank Apps,25.77,11004.32,-,-,0.28,66.93,NaN,NaN,26.06,11071.25,2025-01-07T04:50:12.380Z,2025-04-29T11:00:37.729Z,,,,UPI,upi-apps,2023,Nov,,,,en
2893,10,Kotak Mahindra Bank Apps,23.88,4341.61,-,-,-,-,NaN,NaN,23.88,4341.61,2025-01-07T04:50:12.380Z,2025-04-29T11:00:37.810Z,,,,UPI,upi-apps,2023,Nov,,,,en
2894,11,BHIM,23.49,7957.46,-,-,-,-,NaN,NaN,23.49,7957.46,2025-01-07T04:50:12.380Z,2025-04-29T11:00:37.892Z,,,,UPI,upi-apps,2023,Nov,,,,en
2895,12,WhatsApp,22.29,1917.47,-,-,-,-,NaN,NaN,22.29,1917.47,2025-01-07T04:50:12.380Z,2025-04-29T11:00:37.974Z,,,,UPI,upi-apps,2023,Nov,,,,en
2896,13,HDFC Bank Apps,20.68,5511.35,-,-,-,-,NaN,NaN,20.68,5511.35,2025-01-07T04:50:12.380Z,2025-04-29T11:00:38.057Z,,,,UPI,upi-apps,2023,Nov,,,,en
2897,14,Bajaj Finserv,15.95,2406.06,-,-,-,-,NaN,NaN,15.95,2406.06,2025-01-07T04:50:12.380Z,2025-04-29T11:00:38.141Z,,,,UPI,upi-apps,2023,Nov,,,,en
2898,15,Airtel Payments Bank Apps,11.06,795.35,-,-,-,-,0.28,31.71,11.34,827.06,2025-01-07T04:50:12.380Z,2025-04-29T11:00:38.222Z,,,,UPI,upi-apps,2023,Nov,,,,en
2899,16,Samsung Pay,5.84,557.36,-,-,-,-,NaN,NaN,5.84,557.36,2025-01-07T04:50:12.380Z,2025-04-29T11:00:38.303Z,,,,UPI,upi-apps,2023,Nov,,,,en
2900,17,Federal Bank Apps,5.51,698.05,-,-,-,0.01,NaN,NaN,5.51,698.06,2025-01-07T04:50:12.380Z,2025-04-29T11:00:38.381Z,,,,UPI,upi-apps,2023,Nov,,,,en
2901,18,State Bank of India Apps,5.36,2162.43,-,-,0.02,0.66,NaN,NaN,5.38,2163.09,2025-01-07T04:50:12.380Z,2025-04-29T11:00:38.462Z,,,,UPI,upi-apps,2023,Nov,,,,en
2902,19,India Post Payments Bank Apps,5.27,532.66,-,-,-,-,NaN,NaN,5.27,532.66,2025-01-07T04:50:12.380Z,2025-04-29T11:00:38.542Z,,,,UPI,upi-apps,2023,Nov,,,,en
2903,20,IDFC Bank Apps,4.96,1306.91,-,-,-,-,NaN,NaN,4.96,1306.91,2025-01-07T04:50:12.380Z,2025-04-29T11:00:38.624Z,,,,UPI,upi-apps,2023,Nov,,,,en
2904,21,Groww,4.59,2528.81,-,-,-,-,NaN,NaN,4.59,2528.81,2025-01-07T04:50:12.380Z,2025-04-29T11:00:38.708Z,,,,UPI,upi-apps,2023,Nov,,,,en
2905,22,Mobikwik,4.52,1467.04,-,-,-,-,NaN,NaN,4.52,1467.04,2025-01-07T04:50:12.380Z,2025-04-29T11:00:38.788Z,,,,UPI,upi-apps,2023,Nov,,,,en
2906,23,Standard Chartered Bank Apps,3.82,262.18,-,-,0.57,244.75,NaN,NaN,4.39,506.93,2025-01-07T04:50:12.380Z,2025-04-29T11:00:38.867Z,,,,UPI,upi-apps,2023,Nov,,,,en
2907,24,Jupiter,4.29,577.81,-,-,-,-,NaN,NaN,4.29,577.81,2025-01-07T04:50:12.380Z,2025-04-29T11:00:38.949Z,,,,UPI,upi-apps,2023,Nov,,,,en
2908,25,Deutsche Bank Apps,3.26,268.83,-,-,-,0.02,NaN,NaN,3.26,268.85,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.030Z,,,,UPI,upi-apps,2023,Nov,,,,en
2909,26,Canara Bank Apps,2.29,667.04,-,-,-,-,NaN,NaN,2.29,667.04,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.110Z,,,,UPI,upi-apps,2023,Nov,,,,en
2910,27,RBL Bank Apps,1.85,621.67,-,-,0.37,18.30,NaN,NaN,2.23,639.97,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.190Z,,,,UPI,upi-apps,2023,Nov,,,,en
2911,28,slice,1.58,359.47,-,-,-,-,NaN,NaN,1.58,359.47,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.270Z,,,,UPI,upi-apps,2023,Nov,,,,en
2912,29,Jio Payments Bank Apps,1.26,117.05,-,-,-,-,NaN,NaN,1.26,117.05,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.351Z,,,,UPI,upi-apps,2023,Nov,,,,en
2913,30,Omnicard,1.09,37.85,-,-,-,-,NaN,NaN,1.09,37.85,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.430Z,,,,UPI,upi-apps,2023,Nov,,,,en
2914,31,Punjab National Bank Apps,1.04,214.29,-,-,-,-,NaN,NaN,1.04,214.29,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.510Z,,,,UPI,upi-apps,2023,Nov,,,,en
2915,32,Union Bank Apps,0.95,376.07,-,-,-,-,NaN,NaN,0.95,376.07,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.588Z,,,,UPI,upi-apps,2023,Nov,,,,en
2916,33,Bank of Baroda Apps,0.95,412.54,-,-,-,7.13,NaN,NaN,0.95,419.67,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.669Z,,,,UPI,upi-apps,2023,Nov,,,,en
2917,34,IndusInd Bank Apps,0.90,193.07,-,-,-,-,NaN,NaN,0.90,193.07,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.750Z,,,,UPI,upi-apps,2023,Nov,,,,en
2918,35,GoKiwi,0.76,93.99,-,-,-,-,NaN,NaN,0.76,93.99,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.831Z,,,,UPI,upi-apps,2023,Nov,,,,en
2919,36,SLICE,0.69,27.42,-,-,-,-,NaN,NaN,0.69,27.42,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.911Z,,,,UPI,upi-apps,2023,Nov,,,,en
2920,37,Karnataka Bank Apps,0.68,138.91,-,-,-,0.01,NaN,NaN,0.68,138.92,2025-01-07T04:50:12.380Z,2025-04-29T11:00:39.992Z,,,,UPI,upi-apps,2023,Nov,,,,en
2921,38,AU Small Finance Bank Apps,0.66,239.22,-,-,-,-,NaN,NaN,0.66,239.22,2025-01-07T04:50:12.380Z,2025-04-29T11:00:40.074Z,,,,UPI,upi-apps,2023,Nov,,,,en
2922,39,Navi,0.60,37.44,-,-,-,-,NaN,NaN,0.60,37.44,2025-01-07T04:50:12.380Z,2025-04-29T11:00:40.156Z,,,,UPI,upi-apps,2023,Nov,,,,en
2923,40,DBS Digibank Apps,0.52,196.26,-,-,-,0.61,NaN,NaN,0.52,196.87,2025-01-07T04:50:12.380Z,2025-04-29T11:00:40.237Z,,,,UPI,upi-apps,2023,Nov,,,,en
2924,41,Central Bank of India Apps,0.51,117.17,-,-,-,0.27,NaN,NaN,0.51,117.44,2025-01-07T04:50:12.380Z,2025-04-29T11:00:40.317Z,,,,UPI,upi-apps,2023,Nov,,,,en
2925,42,Indian Bank Apps,0.36,89.84,-,-,-,4.10,NaN,NaN,0.36,93.94,2025-01-07T04:50:12.380Z,2025-04-29T11:00:40.400Z,,,,UPI,upi-apps,2023,Nov,,,,en
2926,43,Fino Payments bank Apps,0.27,25.00,-,-,-,-,NaN,NaN,0.27,25.00,2025-01-07T04:50:12.380Z,2025-04-29T11:00:40.480Z,,,,UPI,upi-apps,2023,Nov,,,,en
2927,44,UCO Bank Apps,0.26,81.93,-,-,-,-,NaN,NaN,0.26,81.93,2025-01-07T04:50:12.380Z,2025-04-29T11:00:40.561Z,,,,UPI,upi-apps,2023,Nov,,,,en
2928,45,Bajaj Pay Wallet,0.26,62.02,-,-,-,-,NaN,NaN,0.26,62.02,2025-01-07T04:50:12.380Z,2025-04-29T11:00:40.641Z,,,,UPI,upi-apps,2023,Nov,,,,en
2929,46,South Indian Bank Apps,0.25,74.07,-,-,-,-,NaN,NaN,0.25,74.07,2025-01-07T04:50:12.380Z,2025-04-29T11:00:40.721Z,,,,UPI,upi-apps,2023,Nov,,,,en
2930,47,Bank of India Apps,0.24,88.76,-,-,-,-,NaN,NaN,0.24,88.76,2025-01-07T04:50:12.380Z,2025-04-29T11:00:40.800Z,,,,UPI,upi-apps,2023,Nov,,,,en
